"A","Agilent Technologies, Inc. Comm",42.06,+0.01,"+0.02%"
"AA","Alcoa Inc. Common Stock",13.545,-0.095,"-0.696%"
"AAPL","Apple Inc.",129.03,+0.08,"+0.06%"
"ABC","AmerisourceBergen Corporation C",114.81,+0.15,"+0.13%"
"ABT","Abbott Laboratories Common Stoc",48.5901,-0.0799,"-0.1642%"
"ACE","Ace Limited Common Stock",108.54,-0.05,"-0.05%"
"ACN","Accenture plc. Class A Ordinary",96.87,-0.11,"-0.11%"
"ADBE","Adobe Systems Incorporated",79.64,+0.21,"+0.26%"
"ADI","Analog Devices, Inc.",63.36,-0.04,"-0.06%"
"ADM","Archer-Daniels-Midland Company ",52.79,-0.09,"-0.17%"
"ADP","Automatic Data Processing, Inc.",88.0399,+0.0499,"+0.0567%"
"ADSK","Autodesk, Inc.",58.85,-0.13,"-0.22%"
"ADT","ADT Corporation Common Stock",38.02,+0.25,"+0.66%"
"AEE","Ameren Corporation Common Stock",40.45,+0.19,"+0.47%"
"AEP","American Electric Power Company",55.37,+0.27,"+0.49%"
"AES","The AES Corporation Common Stoc",13.52,-0.02,"-0.15%"
"AET","Aetna Inc. Common Stock",111.78,+0.30,"+0.27%"
"AFL","AFLAC Incorporated Common Stock",63.69,-0.08,"-0.13%"
"AGN",N/A,N/A,N/A,N/A
"AIG","American International Group, I",58.84,-0.13,"-0.22%"
"AIV","Apartment Investment and Manage",38.15,+0.25,"+0.66%"
"AIZ","Assurant, Inc. Common Stock",65.37,+0.45,"+0.69%"
"AKAM","Akamai Technologies, Inc.",77.60,-0.76,"-0.97%"
"ALL","Allstate Corporation (The) Comm",67.94,+0.30,"+0.44%"
"ALTR","Altera Corporation",44.185,-0.125,"-0.282%"
"ALXN","Alexion Pharmaceuticals, Inc.",161.13,-0.56,"-0.35%"
"AMAT","Applied Materials, Inc.",20.41,+0.55,"+2.77%"
"AMD","Advanced Micro Devices",2.35,+0.02,"+0.86%"
"AMGN","Amgen Inc.",162.06,+0.08,"+0.05%"
"AMP","Ameriprise Financial, Inc. Comm",127.61,-0.69,"-0.54%"
"AMT","American Tower Corporation (REI",94.42,-0.39,"-0.41%"
"AMZN","Amazon.com, Inc.",427.52,-4.76,"-1.10%"
"AN","AutoNation, Inc. Common Stock",62.36,+0.04,"+0.06%"
"ANF","Abercrombie & Fitch Company Com",21.21,-0.04,"-0.19%"
"AON","Aon plc Class A Ordinary Shares",99.95,-0.03,"-0.03%"
"APA","Apache Corporation Common Stock",62.2259,-0.4041,"-0.6452%"
"APC","Anadarko Petroleum Corporation ",83.25,-1.24,"-1.47%"
"APD","Air Products and Chemicals, Inc",148.16,+0.54,"+0.37%"
"APH","Amphenol Corporation Common Sto",57.9212,-0.1588,"-0.2734%"
"APOL","Apollo Education Group, Inc.",16.72,-0.05,"-0.27%"
"ARG","Airgas, Inc. Common Stock",103.02,+0.02,"+0.02%"
"ATI","Allegheny Technologies Incorpor",37.18,-0.27,"-0.72%"
"AVB","AvalonBay Communities, Inc. Com",167.93,+0.74,"+0.44%"
"AVP","Avon Products, Inc. Common Stoc",6.9201,-0.1499,"-2.1202%"
"AVY","Avery Dennison Corporation Comm",59.99,-0.52,"-0.86%"
"AXP","American Express Company Common",81.13,+0.38,"+0.47%"
"AZO","AutoZone, Inc. Common Stock",683.825,+1.695,"+0.248%"
"BA","Boeing Company (The) Common Sto",147.83,-0.13,"-0.09%"
"BAC","Bank of America Corporation Com",16.47,-0.05,"-0.30%"
"BAX","Baxter International Inc. Commo",69.295,+0.255,"+0.369%"
"BBBY","Bed Bath & Beyond Inc.",69.55,-0.10,"-0.14%"
"BBT","BB&T Corporation Common Stock",38.99,-0.18,"-0.46%"
"BBY","Best Buy Co., Inc. Common Stock",34.74,-0.08,"-0.23%"
"BCR","C.R. Bard, Inc. Common Stock",171.52,-0.60,"-0.35%"
"BDX","Becton, Dickinson and Company C",141.055,+0.015,"+0.011%"
"BEAM",N/A,N/A,+0,"+0%"
"BEN","Franklin Resources, Inc. Common",52.01,-0.13,"-0.25%"
"BF.B",N/A,N/A,N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.13,-0.37,"-0.56%"
"BIG","Big Lots, Inc. Common Stock",46.19,+0.13,"+0.28%"
"BIIB","Biogen Idec Inc.",392.12,-2.23,"-0.57%"
"BK","Bank of New York Mellon Corpora",43.32,-0.05,"-0.12%"
"BLK","BlackRock, Inc. Common Stock",371.50,+0.03,"+0.01%"
"BLL","Ball Corporation Common Stock",72.84,+0.87,"+1.21%"
"BMC","BMC Software, Inc.",46.30,+0.00,"+0.00%"
"BMS","Bemis Company, Inc. Common Stoc",46.475,+0.285,"+0.617%"
"BMY","Bristol-Myers Squibb Company Co",67.89,+0.44,"+0.65%"
"BRCM","Broadcom Corporation",47.4901,+0.3101,"+0.6573%"
"BRK.B",N/A,N/A,N/A,N/A
"BSX","Boston Scientific Corporation C",17.85,-0.06,"-0.34%"
"BTU","Peabody Energy Corporation Comm",4.3405,-0.0770,"-1.7431%"
"BWA","BorgWarner Inc. Common Stock",61.45,-0.21,"-0.34%"
"BXP","Boston Properties, Inc. Common ",133.95,+0.59,"+0.44%"
"C","Citigroup, Inc. Common Stock",54.331,-0.269,"-0.493%"
"CA","CA Inc.",31.88,-0.14,"-0.44%"
"CAG","ConAgra Foods, Inc. Common Stoc",38.09,+0.16,"+0.42%"
"CAH","Cardinal Health, Inc. Common St",88.185,+0.185,"+0.210%"
"CAM","Cameron International Corporati",51.75,-0.84,"-1.60%"
"CAT","Caterpillar, Inc. Common Stock",87.74,-1.00,"-1.13%"
"CB","Chubb Corporation (The) Common ",99.48,+0.35,"+0.35%"
"CBG","CBRE Group Inc Common Stock Cla",38.63,+0.11,"+0.29%"
"CBS","CBS Corporation Class B Common ",59.62,-0.02,"-0.03%"
"CCE","Coca-Cola Enterprises, Inc. Com",46.22,-0.16,"-0.34%"
"CCI","Crown Castle International Corp",83.05,+0.27,"+0.33%"
"CCL","Carnival Corporation Common Sto",47.93,+0.56,"+1.18%"
"CELG","Celgene Corporation",115.10,+0.02,"+0.02%"
"CERN","Cerner Corporation",68.07,-0.07,"-0.10%"
"CF","CF Industries Holdings, Inc. Co",304.27,-0.02,"-0.01%"
"CFN",N/A,N/A,N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.84,-0.25,"-1.66%"
"CHRW","C.H. Robinson Worldwide, Inc.",64.82,+0.44,"+0.68%"
"CI","Cigna Corporation Common Stock",131.86,+0.01,"+0.01%"
"CINF","Cincinnati Financial Corporatio",51.16,+0.03,"+0.06%"
"CL","Colgate-Palmolive Company Commo",68.79,+0.16,"+0.23%"
"CLF","Cliffs Natural Resources Inc Co",5.62,+0.01,"+0.18%"
"CLX","Clorox Company (The) Common Sto",109.14,+0.67,"+0.62%"
"CMA","Comerica Incorporated Common St",48.51,-0.35,"-0.72%"
"CMCSA","Comcast Corporation",56.825,+0.285,"+0.504%"
"CME","CME Group Inc.",96.08,-0.01,"-0.01%"
"CMG","Chipotle Mexican Grill, Inc. Co",631.14,-3.39,"-0.53%"
"CMI","Cummins Inc. Common Stock",141.95,-1.27,"-0.89%"
"CMS","CMS Energy Corporation Common S",33.38,+0.03,"+0.09%"
"CNP","CenterPoint Energy, Inc (Holdin",20.28,+0.08,"+0.40%"
"CNX","CONSOL Energy Inc. Common Stock",31.36,-0.21,"-0.67%"
"COF","Capital One Financial Corporati",84.49,+0.02,"+0.02%"
"COG","Cabot Oil & Gas Corporation Com",35.09,-0.23,"-0.65%"
"COH","Coach, Inc. Common Stock",37.54,-0.22,"-0.58%"
"COL","Rockwell Collins, Inc. Common S",98.39,+0.04,"+0.04%"
"COP","ConocoPhillips Common Stock",65.27,-0.15,"-0.23%"
"COST","Costco Wholesale Corporation",143.51,+0.91,"+0.64%"
"COV","Covidien plc. Ordinary Shares (",N/A,+0,"+0%"
"CPB","Campbell Soup Company Common St",46.68,+0.20,"+0.43%"
"CRM","Salesforce.com Inc Common Stock",72.88,+0.00,"+0.00%"
"CSC","Computer Sciences Corporation C",66.67,-0.61,"-0.91%"
"CSCO","Cisco Systems, Inc.",29.30,+0.25,"+0.86%"
"CSX","CSX Corporation Common Stock",34.93,+0.03,"+0.09%"
"CTAS","Cintas Corporation",85.40,+0.29,"+0.33%"
"CTL","CenturyLink, Inc. Common Stock",34.40,+0.06,"+0.17%"
"CTSH","Cognizant Technology Solutions ",63.495,-0.325,"-0.509%"
"CTXS","Citrix Systems, Inc.",66.45,-0.30,"-0.45%"
"CVC","Cablevision Systems Corporation",20.15,-0.15,"-0.74%"
"CVH",N/A,N/A,N/A,N/A
"CVS","CVS Health Corporation Common S",101.84,-0.12,"-0.12%"
"CVX","Chevron Corporation Common Stoc",107.40,+0.02,"+0.02%"
"D","Dominion Resources, Inc. Common",71.83,+0.23,"+0.32%"
"DD","E.I. du Pont de Nemours and Com",69.735,+0.065,"+0.093%"
"DE","Deere & Company Common Stock",89.79,-2.42,"-2.62%"
"DELL",N/A,N/A,N/A,N/A
"DF","Dean Foods Company Common Stock",18.72,+0.01,"+0.05%"
"DFS","Discover Financial Services Com",60.26,-0.08,"-0.13%"
"DG","Dollar General Corporation Comm",73.92,+0.46,"+0.63%"
"DGX","Quest Diagnostics Incorporated ",71.91,+0.21,"+0.29%"
"DHI","D.R. Horton, Inc. Common Stock",25.625,-0.165,"-0.640%"
"DHR","Danaher Corporation Common Stoc",87.30,-0.54,"-0.61%"
"DIS","Walt Disney Company (The) Commo",110.37,+0.44,"+0.40%"
"DISCA","Discovery Communications, Inc.",31.33,-0.07,"-0.22%"
"DLTR","Dollar Tree, Inc.",77.005,+0.035,"+0.045%"
"DNB","Dun & Bradstreet Corporation (T",128.931,-0.299,"-0.231%"
"DNR","Denbury Resources Inc. Common S",7.15,-0.16,"-2.19%"
"DO","Diamond Offshore Drilling, Inc.",33.19,-0.28,"-0.84%"
"DOV","Dover Corporation Common Stock",75.28,-1.23,"-1.61%"
"DOW","Dow Chemical Company (The) Comm",50.83,-0.41,"-0.80%"
"DPS","Dr Pepper Snapple Group, Inc Dr",78.39,+0.73,"+0.94%"
"DRI","Darden Restaurants, Inc. Common",63.64,+0.25,"+0.39%"
"DTE","DTE Energy Company Common Stock",78.4575,+0.3675,"+0.4706%"
"DTV","DIRECTV",91.23,+0.21,"+0.23%"
"DUK","Duke Energy Corporation (Holdin",76.12,+0.63,"+0.83%"
"DVA","DaVita HealthCare Partners Inc.",81.52,-0.34,"-0.42%"
"DVN","Devon Energy Corporation Common",64.92,-0.76,"-1.16%"
"EA","Electronic Arts Inc.",62.95,-0.14,"-0.22%"
"EBAY","eBay Inc.",59.99,-0.11,"-0.18%"
"ECL","Ecolab Inc. Common Stock",115.64,-0.35,"-0.30%"
"ED","Consolidated Edison, Inc. Commo",61.40,+0.30,"+0.49%"
"EFX","Equifax, Inc. Common Stock",100.03,+0.42,"+0.42%"
"EIX","Edison International Common Sto",59.77,+0.02,"+0.03%"
"EL","Estee Lauder Companies, Inc. (T",88.83,-0.56,"-0.63%"
"EMC","EMC Corporation Common Stock",27.01,-0.02,"-0.07%"
"EMN","Eastman Chemical Company Common",77.46,-0.75,"-0.96%"
"EMR","Emerson Electric Company Common",60.26,-0.27,"-0.45%"
"EOG","EOG Resources, Inc. Common Stoc",89.456,-1.274,"-1.404%"
"EQR","Equity Residential Common Share",75.19,+0.25,"+0.33%"
"EQT","EQT Corporation Common Stock",89.33,-1.47,"-1.62%"
"ESRX","Express Scripts Holding Company",87.96,+0.50,"+0.57%"
"ESV","Ensco plc Class A Ordinary Shar",25.445,-0.575,"-2.210%"
"ETFC","E*TRADE Financial Corporation",29.46,-0.13,"-0.44%"
"ETN","Eaton Corporation, PLC Ordinary",72.88,-0.62,"-0.84%"
"ETR","Entergy Corporation Common Stoc",74.76,+0.53,"+0.71%"
"EW","Edwards Lifesciences Corporatio",130.50,-0.06,"-0.05%"
"EXC","Exelon Corporation Common Stock",33.57,+0.03,"+0.09%"
"EXPD","Expeditors International of Was",47.75,+0.19,"+0.39%"
"EXPE","Expedia, Inc.",104.27,+0.13,"+0.12%"
"F","Ford Motor Company Common Stock",15.3301,+0.0601,"+0.3936%"
"FAST","Fastenal Company",43.33,+0.06,"+0.14%"
"FCX","Freeport-McMoRan, Inc. Common S",22.55,-0.25,"-1.10%"
"FDO","Family Dollar Stores, Inc. Comm",78.31,-0.02,"-0.03%"
"FDX","FedEx Corporation Common Stock",174.035,+0.585,"+0.337%"
"FE","FirstEnergy Corporation Common ",35.17,+0.22,"+0.63%"
"FFIV","F5 Networks, Inc.",127.40,-0.20,"-0.16%"
"FHN","First Horizon National Corporat",14.49,-0.04,"-0.28%"
"FII","Federated Investors, Inc. Commo",34.47,-0.11,"-0.32%"
