"A","Agilent Technologies, Inc. Comm",42.08
"AA","Alcoa Inc. Common Stock",13.55
"AAPL","Apple Inc.",128.5516
"ABC","AmerisourceBergen Corporation C",113.92
"ABT","Abbott Laboratories Common Stoc",48.51
"ACE","Ace Limited Common Stock",108.10
"ACN","Accenture plc. Class A Ordinary",96.79
"ADBE","Adobe Systems Incorporated",79.03
"ADI","Analog Devices, Inc.",63.065
"ADM","Archer-Daniels-Midland Company ",53.01
"ADP","Automatic Data Processing, Inc.",87.74
"ADSK","Autodesk, Inc.",58.98
"ADT","ADT Corporation Common Stock",37.82
"AEE","Ameren Corporation Common Stock",40.43
"AEP","American Electric Power Company",55.37
"AES","The AES Corporation Common Stoc",13.6358
"AET","Aetna Inc. Common Stock",111.81
"AFL","AFLAC Incorporated Common Stock",63.28
"AGN",N/A,N/A
"AIG","American International Group, I",58.32
"AIV","Apartment Investment and Manage",38.19
"AIZ","Assurant, Inc. Common Stock",65.55
"AKAM","Akamai Technologies, Inc.",77.935
"ALL","Allstate Corporation (The) Comm",67.71
"ALTR","Altera Corporation",44.43
"ALXN","Alexion Pharmaceuticals, Inc.",160.09
"AMAT","Applied Materials, Inc.",20.35
"AMD","Advanced Micro Devices",2.355
"AMGN","Amgen Inc.",162.62
"AMP","Ameriprise Financial, Inc. Comm",127.478
"AMT","American Tower Corporation (REI",95.09
"AMZN","Amazon.com, Inc.",425.59
"AN","AutoNation, Inc. Common Stock",62.30
"ANF","Abercrombie & Fitch Company Com",21.43
"AON","Aon plc Class A Ordinary Shares",99.45
"APA","Apache Corporation Common Stock",62.81
"APC","Anadarko Petroleum Corporation ",84.30
"APD","Air Products and Chemicals, Inc",148.50
"APH","Amphenol Corporation Common Sto",57.86
"APOL","Apollo Education Group, Inc.",16.89
"ARG","Airgas, Inc. Common Stock",102.92
"ATI","Allegheny Technologies Incorpor",37.51
"AVB","AvalonBay Communities, Inc. Com",168.53
"AVP","Avon Products, Inc. Common Stoc",7.09
"AVY","Avery Dennison Corporation Comm",60.1299
"AXP","American Express Company Common",80.24
"AZO","AutoZone, Inc. Common Stock",683.86
"BA","Boeing Company (The) Common Sto",146.445
"BAC","Bank of America Corporation Com",16.318
"BAX","Baxter International Inc. Commo",69.4599
"BBBY","Bed Bath & Beyond Inc.",69.505
"BBT","BB&T Corporation Common Stock",38.57
"BBY","Best Buy Co., Inc. Common Stock",34.58
"BCR","C.R. Bard, Inc. Common Stock",172.47
"BDX","Becton, Dickinson and Company C",141.00
"BEAM",N/A,N/A
"BEN","Franklin Resources, Inc. Common",51.70
"BF.B",N/A,N/A
"BHI","Baker Hughes Incorporated Commo",65.70
"BIG","Big Lots, Inc. Common Stock",46.34
"BIIB","Biogen Idec Inc.",390.67
"BK","Bank of New York Mellon Corpora",43.03
"BLK","BlackRock, Inc. Common Stock",369.50
"BLL","Ball Corporation Common Stock",72.93
"BMC","BMC Software, Inc.",46.30
"BMS","Bemis Company, Inc. Common Stoc",46.26
"BMY","Bristol-Myers Squibb Company Co",67.37
"BRCM","Broadcom Corporation",47.29
"BRK.B",N/A,N/A
"BSX","Boston Scientific Corporation C",17.795
"BTU","Peabody Energy Corporation Comm",4.31
"BWA","BorgWarner Inc. Common Stock",61.44
"BXP","Boston Properties, Inc. Common ",134.51
"C","Citigroup, Inc. Common Stock",54.04
"CA","CA Inc.",31.789
"CAG","ConAgra Foods, Inc. Common Stoc",38.25
"CAH","Cardinal Health, Inc. Common St",87.64
"CAM","Cameron International Corporati",52.2544
"CAT","Caterpillar, Inc. Common Stock",88.29
"CB","Chubb Corporation (The) Common ",98.81
"CBG","CBRE Group Inc Common Stock Cla",38.54
"CBS","CBS Corporation Class B Common ",59.70
"CCE","Coca-Cola Enterprises, Inc. Com",46.40
"CCI","Crown Castle International Corp",83.29
"CCL","Carnival Corporation Common Sto",47.80
"CELG","Celgene Corporation",115.06
"CERN","Cerner Corporation",67.63
"CF","CF Industries Holdings, Inc. Co",307.05
"CFN",N/A,N/A
"CHK","Chesapeake Energy Corporation C",14.725
"CHRW","C.H. Robinson Worldwide, Inc.",64.42
"CI","Cigna Corporation Common Stock",131.52
"CINF","Cincinnati Financial Corporatio",50.91
"CL","Colgate-Palmolive Company Commo",68.57
"CLF","Cliffs Natural Resources Inc Co",5.5756
"CLX","Clorox Company (The) Common Sto",109.115
"CMA","Comerica Incorporated Common St",48.01
"CMCSA","Comcast Corporation",56.42
"CME","CME Group Inc.",94.79
"CMG","Chipotle Mexican Grill, Inc. Co",631.96
"CMI","Cummins Inc. Common Stock",141.81
"CMS","CMS Energy Corporation Common S",33.67
"CNP","CenterPoint Energy, Inc (Holdin",20.2201
"CNX","CONSOL Energy Inc. Common Stock",31.90
"COF","Capital One Financial Corporati",83.80
"COG","Cabot Oil & Gas Corporation Com",35.44
"COH","Coach, Inc. Common Stock",37.48
"COL","Rockwell Collins, Inc. Common S",97.82
"COP","ConocoPhillips Common Stock",65.424
"COST","Costco Wholesale Corporation",144.31
"COV","Covidien plc. Ordinary Shares (",N/A
"CPB","Campbell Soup Company Common St",46.71
"CRM","Salesforce.com Inc Common Stock",72.85
"CSC","Computer Sciences Corporation C",67.325
"CSCO","Cisco Systems, Inc.",29.51
"CSX","CSX Corporation Common Stock",35.245
"CTAS","Cintas Corporation",85.48
"CTL","CenturyLink, Inc. Common Stock",34.38
"CTSH","Cognizant Technology Solutions ",63.035
"CTXS","Citrix Systems, Inc.",65.82
"CVC","Cablevision Systems Corporation",20.22
"CVH",N/A,N/A
"CVS","CVS Health Corporation Common S",101.60
"CVX","Chevron Corporation Common Stoc",107.60
